======TRACE SUMMARY=========,,,,,,,
Date:Oct 3 2013 9:22:27 PM,,,,,,,
Trace:test01,,,,,,,
Application(s) Name : Version:,com.google.process.gapps,,,,,,
,com.google.android.apps.plus , 4.1.2.51968121,,,,,
,/system/bin/netd,,,,,,
,com.google.android.youtube , 5.1.10,,,,,
,Unknown App,,,,,,
,/system/bin/mediaserver,,,,,,
,,,,,,,
Data Collector Version:2.4.1.3,,,,,,,
Device Make/Model:LGE / Nexus 4,,,,,,,
OS/Platform Version:4.3,,,,,,,
Network Type(s):WIFI,,,,,,,
Profile:AT&T 3G,,,,,,,
Percentage HTTPS (not analyzed for content):,0.60%,(120 KB),,,,,
Duration:,1.3,Minutes,,,,,
Total Data Transferred: ,21881543,Bytes,,,,,
Energy Consumed:,187,J (Energy),,,,,
Trace Score,,,,,,,
Causes:,350,,,,,,
Effects:,476,,,,,,
Total:,826,,,,,,
IP Packet Count:,23679,,,,,,
Avg Rate (kbps):,2337.8,,,,,,
,,,,,,,
==========BEST PRACTICES==========,,,,,,,
Text File Compression,Pass,,,,,,
,0,% of text files were sent without compression,,,,,
,0,kB of text files were sent without compression,,,,,
Duplicate Content,Pass,,,,,,
,0,% duplicated TCP content,,,,,
,0,files,,,,,
,0,MBytes,,,,,
Cache Control,Pass,,,,,,
,0,% of files missing cache headers,,,,,
Content Expiration,Pass,,,,,,
,0,"files downloaded multiple times while ""not expired""",,,,,
,0,files cached and 304 returned from server,,,,,
Content Pre-fetching,Pass,,,,,,
,,,,,,,
Combine JS and CSS Requests,Pass,,,,,,
,0,count of inefficient Css requests,,,,,
,0,count of inefficient Js requests,,,,,
Resize Images for Mobile,Pass,,,,,,
,0,images larger than the area specified for them,,,,,
"Minify CSS, JS, and HTML",Pass,,,,,,
,0,files to minify,,,,,
Use CSS Sprites for Images,Pass,,,,,,
,0,Image file groups to be used a sprite,,,,,
Connection Opening,Self Test,,,,,,
,,,,,,,
Unnecessary Connections - Multiple Simultaneous Connections,Pass,,,,,,
,0,count of bursts more tightly grouped,,,,,
Inefficient Connections - Periodic Transfers,Pass,,,,,,
,0,connections,,,,,
,0,# of repeats,,,,,
,0,s period of repeat,,,,,
Inefficient Connections - Screen Rotation,Fail,,,,,,
,4,count of screen rotations that cause network activity,,,,,
Inefficient Connections - Connection Closing Problems,Pass,,,,,,
,,,,,,,
Inefficient Connections - Offloading to WiFi when Possible,Pass,,,,,,
,1,number of large bursts,,,,,
"400, 500 HTTP Status Response Codes",Pass,,,,,,
,,,,,,,
"301, 302 HTTP Status Response Codes",Pass,,,,,,
,,,,,,,
3rd Party Scripts,Pass,,,,,,
,0,3rd party script files,,,,,
Asynchronous Load of JavaScript in HTML,Pass,,,,,,
,0,HTML files that uses synchronous load of JavaScript in the HEAD.,,,,,
HTTP 1.0 Usage,Pass,,,,,,
,0,count of HTTP 1.0 headers,,,,,
File Order,Pass,,,,,,
,0,HTML files which have JS loaded before CSS in the HEAD.,,,,,
Empty Source and Link Attributes,Pass,,,,,,
,0,empty HTML tag files,,,,,
FLASH,Pass,,,,,,
,0,flash files,,,,,
"""display:none"" in CSS",Pass,,,,,,
,0,"files with ""display:none"" CSS rule",,,,,
Accessing Peripheral Applications,Warning,,,,,,
,100,% GPS,,,,,
,0,% Bluetooth,,,,,
,0,% Camera,,,,,
,,,,,,,
============FILE TYPES=========,,,,,,,
,% of Data Transfer,Bytes,,,,,
video/mp4,99.58%,20709704,,,,,
Unknown,0.42%,86445,,,,,
,,,,,,,
============TRACE BENCHMARKING=========,,,,,,,
,Value,Percentile,,,,,
Avg Rate: (kbps),2337.848117,100,,,,,
Energy Efficiency: (J/kb),0.004585597,100,,,,,
Signaling Overhead:,0.026710275,82.0754717,,,,,
,,,,,,,
============CONNECTION STATISTICS============,,,,,,,
Proper session termination,100.00%,,,,,,
Tightly grouped connection,0.00%,,,,,,
Non-Periodic Burst connection,100.00%,,,,,,
Large Burst connection,50.00%,,,,,,
,,,,,,,
===== Trace Score =====,,,,,,,
Causes,,,,,,,
Cache Control:,75,(out of 75),,,,,
Connection Closing Problems:,75,(out of 75),,,,,
Tightly Grouped Connections:,0,(out of 150),,,,,
Periodic Transfers:,150,(out of 150),,,,,
Content Expiration:,50,(out of 50),,,,,
Cause Sub-total:,350,(out of 500),,,,,
Effects,,,,,,,
Duplicate Content:,125,(out of 125),,,,,
Signaling Overhead:,102,(out of 125),,,,,
Average Rate (kb/s):,62,(out of 62.5),,,,,
Energy Efficiency (J/kb):,187,(out of 187.5),,,,,
Effects Sub-total:,476,(out of 500),,,,,
Total Score,826,(out of 1000),,,,,
,,,,,,,
===== Endpoint Summary Per Application =====,,,,,,,
Application Name,Packet Count,Total Bytes,,,,,
com.google.process.gapps,7,948,,,,,
com.google.android.apps.plus,28,2586,,,,,
/system/bin/netd,13,1758,,,,,
com.google.android.youtube,306,125908,,,,,
Unknown App,5,1096,,,,,
/system/bin/mediaserver,23320,21749247,,,,,
,,,,,,,
,,,,,,,
===== Endpoint Summary Per IP Address =====,,,,,,,
IP Address,Packet Count,Total Bytes,,,,,
173.194.33.14,141,37714,,,,,
64.59.150.138,2,329,,,,,
173.194.33.131,23,9287,,,,,
74.125.28.95,104,66954,,,,,
173.194.33.8,23,5034,,,,,
239.255.255.250,24,3672,,,,,
173.194.33.7,9,2306,,,,,
173.194.33.4,2,92,,,,,
173.194.33.2,3,171,,,,,
173.194.33.3,5,2802,,,,,
24.244.19.141,23320,21749247,,,,,
173.194.33.0,7,1410,,,,,
64.59.144.92,13,1758,,,,,
255.255.255.255,1,328,,,,,
192.168.1.100,2,439,,,,,
,,,,,,,
,,,,,,,
===== RRC State Machine Simulation =====,,,,,,,
DCH (Active):,76.18,S,95.18%,,,,
FACH (Standby):,0,S,0.00%,,,,
IDLE:,1.86,S,2.32%,,,,
IDLE->DCH (Active):,2,S,2.50%,,,,
FACH (Standby)->DCH (Active):,0,S,0.00%,,,,
