======TRACE SUMMARY=========,,,,,,,
Date:Nov 20 2013 2:51:16 PM,,,,,,,
Trace:Nov20a,,,,,,,
Application(s) Name : Version:,com.example.newandroidclient ,1,,,,,
,,,,,,,
Data Collector Version:2.4.1.3,,,,,,,
Device Make/Model:LGE / Nexus 4,,,,,,,
OS/Platform Version:4.3,,,,,,,
Network Type(s):WIFI ,,,,,,,
Profile:AT&T 3G,,,,,,,
Percentage HTTPS (not analyzed for content):,0%,(0 KB),,,,,
Duration:,0.2,Minutes,,,,,
Total Data Transferred: ,1903977,Bytes,,,,,
Energy Consumed:,31.6,J (Energy),,,,,
Trace Score,,,,,,,
Causes:,350,,,,,,
Effects:,373,,,,,,
Total:,723,,,,,,
IP Packet Count:,1704,,,,,,
Avg Rate (kbps):,1457.3,,,,,,
,,,,,,,
==========BEST PRACTICES==========,,,,,,,
Text File Compression,Pass,,,,,,
,0,% of text files were sent without compression,,,,,
,0,kB of text files were sent without compression,,,,,
Duplicate Content,Pass,,,,,,
,0,% duplicated TCP content,,,,,
,0,files,,,,,
,0,MBytes,,,,,
Cache Control,Pass,,,,,,
,0,% of files missing cache headers,,,,,
Content Expiration,Pass,,,,,,
,0,"files downloaded multiple times while ""not expired""",,,,,
,0,files cached and 304 returned from server,,,,,
Content Pre-fetching,Pass,,,,,,
,,,,,,,
Combine JS and CSS Requests,Pass,,,,,,
,0,count of inefficient Css requests,,,,,
,0,count of inefficient Js requests,,,,,
Resize Images for Mobile,Pass,,,,,,
,0,images larger than the area specified for them,,,,,
"Minify CSS, JS, and HTML",Pass,,,,,,
,0,files to minify,,,,,
Use CSS Sprites for Images,Pass,,,,,,
,0,Image file groups to be used a sprite,,,,,
Connection Opening,Self Test,,,,,,
,,,,,,,
Unnecessary Connections - Multiple Simultaneous Connections,Pass,,,,,,
,0,count of bursts more tightly grouped,,,,,
Inefficient Connections - Periodic Transfers,Pass,,,,,,
,0,connections,,,,,
,0,# of repeats,,,,,
,0,s period of repeat,,,,,
Inefficient Connections - Screen Rotation,Pass,,,,,,
,0,count of screen rotations,,,,,
Inefficient Connections - Connection Closing Problems,Pass,,,,,,
,,,,,,,
Inefficient Connections - Offloading to WiFi when Possible,Pass,,,,,,
,1,number of large bursts,,,,,
"400, 500 HTTP Status Response Codes",Pass,,,,,,
,,,,,,,
"301, 302 HTTP Status Response Codes",Pass,,,,,,
,,,,,,,
3rd Party Scripts,Pass,,,,,,
,0,3rd party script files,,,,,
Asynchronous Load of JavaScript in HTML,Pass,,,,,,
,0,HTML files that uses synchronous load of JavaScript in the HEAD.,,,,,
HTTP 1.0 Usage,Pass,,,,,,
,0,count of HTTP 1.0 headers,,,,,
File Order,Pass,,,,,,
,0,HTML files which have JS loaded before CSS in the HEAD.,,,,,
Empty Source and Link Attributes,Pass,,,,,,
,0,empty HTML tag files,,,,,
FLASH,Pass,,,,,,
,0,flash files,,,,,
"""display:none"" in CSS",Pass,,,,,,
,0,"files with ""display:none"" CSS rule",,,,,
Accessing Peripheral Applications,Warning,,,,,,
,100,% GPS,,,,,
,0,% Bluetooth,,,,,
,0,% Camera,,,,,
,,,,,,,
============FILE TYPES=========,,,,,,,
,% of Data Transfer,Bytes,,,,,
Unknown,100.00%,1815237,,,,,
,,,,,,,
============TRACE BENCHMARKING=========,,,,,,,
,Value,Percentile,,,,,
Avg Rate: (kbps),1457.276147,100,,,,,
Energy Efficiency: (J/kb),0.008436041,99.05660377,,,,,
Signaling Overhead:,0.146034101,0.943396226,,,,,
,,,,,,,
